HOME_TEAM_HOME_WINS,HOME_TEAM_ROAD_WINS,AWAY_TEAM_HOME_WINS,AWAY_TEAM_ROAD_WINS,HOME_TEAM_HTH_RECORD,AWAY_TEAM_HTH_RECORD,HOME_TEAM_FORM_0,AWAY_TEAM_FORM_0,HOME_TEAM_FORM_1,AWAY_TEAM_FORM_1,HOME_TEAM_FORM_2,AWAY_TEAM_FORM_2,HOME_TEAM_WIN_RECORD,AWAY_TEAM_WIN_RECORD,HOME_TEAM_PPG,HOME_TEAM_PAPG,AWAY_TEAM_PPG,AWAY_TEAM_PAPG,HOME_TEAM_WINS
0.4,0.25,0.667,0.625,1,1,1,1,1,1,0,0,3,7,103,108,102,96,1
0.714,0.5,0.625,0.5,2,2,1,1,1,1,0,1,6,6,101,99,96,96,1
0.375,0.5,0.5,0.6,2,0,0,1,0,1,0,0,4,5,101,108,101,96,0
0.5,0.444,0.625,0.5,1,3,1,0,1,1,0,1,5,6,93,101,110,104,1
0.143,0.143,0.571,0.571,0,2,0,1,0,1,0,1,0,6,91,104,101,100,0
0.625,0.4,0.333,0.25,3,1,1,1,1,0,0,0,5,2,104,100,99,104,1
0.8,0.625,0.429,0.375,2,2,1,0,1,0,1,0,7,4,102,91,102,103,1
0.2,0.222,0.556,0.714,2,1,0,0,0,0,1,1,1,8,94,103,102,100,1
0.6,0.444,0.857,0.571,1,3,0,0,0,1,0,1,5,8,96,97,102,95,1
0.875,0.857,0.667,0.556,1,1,1,0,1,1,1,1,11,7,114,97,102,97,1
0.75,0.4,0.143,0.714,1,1,1,0,1,0,1,0,6,4,96,90,103,104,0
0.333,0.125,0.571,0.429,2,2,0,0,0,1,0,1,1,5,100,109,98,103,0
0.375,0.571,0.667,0.375,2,2,1,1,0,0,0,1,5,5,98,98,101,99,1
0.5,0.5,0.5,0.5,3,1,1,1,0,0,0,0,4,5,103,109,97,101,1
0.556,0.625,0.455,0.25,2,0,0,1,0,1,0,1,8,4,101,99,103,107,1
0.5,0.667,0.571,0.625,0,2,1,1,1,1,1,1,6,7,102,95,100,99,0
0.667,0.333,0.333,0.222,2,2,0,1,1,0,0,0,5,2,100,99,94,102,1
0.333,0.5,0.429,0.333,3,1,0,0,0,0,0,0,4,4,100,108,100,102,1
0.625,0.429,0.286,0.125,2,1,0,0,0,0,1,0,6,1,110,105,100,109,1
0.571,0.375,0.143,0.75,1,1,0,1,1,0,1,0,5,5,100,101,103,103,1
0.125,0.143,0.625,0.429,0,3,0,0,0,1,0,1,0,6,90,103,96,96,0
0.667,0.4,0.75,0.5,0,2,1,1,1,1,1,1,6,7,105,100,100,99,0
0.833,0.625,0.571,0.5,3,0,1,1,1,0,1,1,8,6,101,90,99,102,1
0.5,0.5,0.667,0.5,0,2,1,0,0,0,0,1,5,7,95,91,102,98,1
0.857,0.5,0.5,0.429,2,2,0,0,0,1,1,0,8,5,102,96,96,102,1
0.75,0.333,0.889,0.857,2,2,1,1,0,1,0,1,6,12,105,104,114,98,0
0.667,0.4,0.455,0.2,1,1,0,0,1,1,1,1,6,4,96,91,103,107,1
0.444,0.667,0.333,0.2,1,3,0,0,1,1,1,0,6,2,102,96,95,103,1
0.714,0.333,0.111,0.143,3,1,1,0,0,0,1,0,6,0,102,100,90,104,1
0.571,0.667,0.6,0.5,4,0,1,1,1,1,1,0,8,6,101,99,95,91,1
0.571,0.444,0.6,0.4,0,4,0,0,1,1,0,1,6,6,99,103,105,100,0
