TEAM_ID,TEAM_NAME,OVERALL,HOME_RECORD,ROAD_RECORD,POST_SEASON_RECORD,RECORD_CLOSE_GAMES,RECORD_NORMAL_GAMES
10,Milwaukee Bucks,60-22,33-8,27-14,17-8,5-6,45-5
1,Toronto Raptors,58-24,32-9,26-15,15-8,11-7,33-9
21,Golden State Warriors,57-25,30-11,27-14,16-9,7-7,34-10
19,Denver Nuggets,54-28,34-7,20-21,15-10,13-3,23-11
29,Houston Rockets,53-29,31-10,22-19,20-5,5-7,29-12
17,Portland Trail Blazers,53-29,32-9,21-20,19-6,4-6,29-8
5,Philadelphia 76ers,51-31,31-10,20-21,14-10,10-8,22-16
18,Utah Jazz,50-32,29-12,21-20,18-7,0-7,34-12
2,Boston Celtics,49-33,28-13,21-20,12-12,5-6,24-12
16,Oklahoma City Thunder,49-33,27-14,22-19,12-13,6-7,23-12
7,Indiana Pacers,48-34,29-12,19-22,10-14,6-6,23-16
22,Los Angeles Clippers,48-34,26-15,22-19,16-7,6-2,23-18
26,San Antonio Spurs,48-34,32-9,16-25,15-8,7-4,25-16
4,Brooklyn Nets,42-40,23-18,19-22,12-11,12-8,16-22
15,Orlando Magic,42-40,25-16,17-24,15-8,5-6,21-21
8,Detroit Pistons,41-41,26-15,15-26,15-11,6-9,16-21
13,Charlotte Hornets,39-43,25-16,14-27,12-13,6-10,21-20
11,Miami Heat,39-43,19-22,20-21,13-13,6-9,16-20
23,Sacramento Kings,39-43,24-17,15-26,9-16,6-7,16-18
25,Los Angeles Lakers,37-45,22-19,15-26,9-16,5-4,16-25
20,Minnesota Timberwolves,36-46,25-16,11-30,9-16,8-5,19-22
27,Dallas Mavericks,33-49,24-17,9-32,7-18,7-7,12-22
28,Memphis Grizzlies,33-49,21-20,12-29,10-13,6-9,14-19
30,New Orleans Pelicans,33-49,19-22,14-27,7-16,4-6,15-20
14,Washington Wizards,32-50,22-19,10-31,8-16,5-6,14-23
12,Atlanta Hawks,29-53,17-24,12-29,10-14,9-6,7-31
9,Chicago Bulls,22-60,9-32,13-28,8-16,8-8,9-31
6,Cleveland Cavaliers,19-63,13-28,6-35,7-17,5-4,6-43
24,Phoenix Suns,19-63,12-29,7-34,8-15,5-5,5-40
3,New York Knicks,17-65,9-32,8-33,6-18,4-7,6-41
