TEAM_ID,TEAM_NAME,OVERALL,HOME_RECORD,ROAD_RECORD,POST_SEASON_RECORD,RECORD_CLOSE_GAMES,RECORD_NORMAL_GAMES
10,Milwaukee Bucks,56-17,30-5,26-12,10-9,3-2,38-8
1,Toronto Raptors,53-19,26-10,27-9,13-4,6-4,23-10
25,Los Angeles Lakers,52-19,25-10,27-9,11-7,7-3,25-11
22,Los Angeles Clippers,49-23,27-9,22-14,12-5,8-3,32-8
2,Boston Celtics,48-24,26-10,22-14,10-8,6-5,29-7
19,Denver Nuggets,46-27,26-11,20-16,8-10,9-5,16-13
7,Indiana Pacers,45-28,25-11,20-17,13-5,5-7,20-12
29,Houston Rockets,44-28,24-12,20-16,10-8,4-5,22-14
11,Miami Heat,44-29,29-7,15-22,9-10,6-4,23-11
16,Oklahoma City Thunder,44-28,23-14,21-14,11-6,8-6,18-10
18,Utah Jazz,44-28,23-12,21-16,8-10,7-5,18-11
27,Dallas Mavericks,43-32,20-18,23-14,10-10,2-11,23-9
5,Philadelphia 76ers,43-30,31-4,12-26,9-9,6-5,19-15
4,Brooklyn Nets,35-37,20-16,15-21,10-9,7-7,17-19
17,Portland Trail Blazers,35-39,21-15,14-24,10-8,9-3,17-18
28,Memphis Grizzlies,34-39,20-17,14-22,6-13,3-4,18-21
24,Phoenix Suns,34-39,17-22,17-17,12-6,4-8,15-18
15,Orlando Magic,33-40,18-17,15-23,9-9,5-5,18-20
26,San Antonio Spurs,32-39,19-15,13-24,9-8,10-7,10-12
23,Sacramento Kings,31-41,16-19,15-22,10-8,6-8,12-18
30,New Orleans Pelicans,30-42,15-21,15-21,7-10,2-6,18-15
14,Washington Wizards,25-47,16-20,9-27,5-14,1-4,12-25
13,Charlotte Hornets,23-42,10-21,13-21,5-6,9-8,5-25
9,Chicago Bulls,22-43,14-20,8-23,3-7,6-6,7-19
3,New York Knicks,21-45,11-22,10-23,4-7,7-6,8-21
12,Atlanta Hawks,20-47,14-20,6-27,5-6,1-5,8-29
8,Detroit Pistons,20-46,11-22,9-24,1-8,4-6,9-26
6,Cleveland Cavaliers,19-46,11-25,8-21,5-6,5-5,6-28
20,Minnesota Timberwolves,19-45,8-24,11-21,3-8,3-4,10-21
21,Golden State Warriors,15-50,8-26,7-24,3-7,1-3,8-30
