TEAM_ID,TEAM_NAME,OVERALL,HOME_RECORD,ROAD_RECORD,POST_SEASON_RECORD,RECORD_CLOSE_GAMES,RECORD_NORMAL_GAMES
29,Houston Rockets,65-17,34-7,31-10,21-4,5-3,38-8
1,Toronto Raptors,59-23,34-7,25-16,18-7,5-7,33-5
21,Golden State Warriors,58-24,29-12,29-12,14-10,5-1,38-13
2,Boston Celtics,55-27,27-14,28-13,15-8,11-8,25-9
5,Philadelphia 76ers,52-30,30-11,22-19,22-5,4-7,31-11
6,Cleveland Cavaliers,50-32,29-12,21-20,16-10,8-5,17-20
17,Portland Trail Blazers,49-33,28-13,21-20,17-7,8-8,20-12
7,Indiana Pacers,48-34,27-14,21-20,15-9,11-2,20-16
30,New Orleans Pelicans,48-34,24-17,24-17,17-8,7-3,19-16
16,Oklahoma City Thunder,48-34,27-14,21-20,15-8,8-10,24-11
18,Utah Jazz,48-34,28-13,20-21,18-6,4-5,31-19
20,Minnesota Timberwolves,47-35,30-11,17-24,11-10,7-7,25-12
26,San Antonio Spurs,47-35,33-8,14-27,12-11,8-10,25-17
19,Denver Nuggets,46-36,31-10,15-26,14-10,10-5,21-15
11,Miami Heat,44-38,26-15,18-23,14-10,9-9,16-13
10,Milwaukee Bucks,44-38,25-16,19-22,12-13,7-4,14-16
14,Washington Wizards,43-39,23-18,20-21,10-15,5-7,22-12
22,Los Angeles Clippers,42-40,22-19,20-21,12-14,8-2,22-19
8,Detroit Pistons,39-43,25-16,14-27,11-14,4-7,19-23
13,Charlotte Hornets,36-46,21-20,15-26,12-13,1-5,23-23
25,Los Angeles Lakers,35-47,20-21,15-26,12-13,6-7,18-21
3,New York Knicks,29-53,19-22,10-31,6-17,2-7,15-30
4,Brooklyn Nets,28-54,15-26,13-28,9-14,5-7,9-27
9,Chicago Bulls,27-55,17-24,10-31,7-18,9-5,6-30
23,Sacramento Kings,27-55,14-27,13-28,9-16,6-5,5-32
15,Orlando Magic,25-57,17-24,8-33,7-18,3-5,10-27
12,Atlanta Hawks,24-58,16-25,8-33,6-17,6-8,8-35
27,Dallas Mavericks,24-58,15-26,9-32,6-18,2-9,11-20
28,Memphis Grizzlies,22-60,16-25,6-35,4-22,5-12,8-26
24,Phoenix Suns,21-61,10-31,11-30,3-20,6-5,5-40
