date,season_id,home_team,home_team_id,home_team_score,away_team,away_team_id,away_team_score,home_team_home_wins,home_team_home_loses,home_team_road_wins,home_team_road_loses,away_team_home_wins,away_team_home_loses,away_team_road_wins,away_team_road_loses,home_team_elo,away_team_elo,home_team_raptor,away_team_raptor,home_team_hth_record,away_team_hth_record,home_team_wins,home_team_loses,home_team_points_per_game,home_team_points_against_per_game,away_team_wins,away_team_loses,away_team_points_per_game,away_team_points_against_per_game,is_home_winner
2015-10-27,2015,Atlanta,1610612737,94,Detroit,1610612765,106,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1561.84355,1472.0588,nan,nan,2,2,0,0,0,0,0,0,0,0,0
2015-10-27,2015,Chicago,1610612741,97,Cleveland,1610612739,95,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1569.533975,1645.314425,nan,nan,3,1,0,0,0,0,0,0,0,0,1
2015-10-27,2015,Golden State,1610612744,111,New Orleans,1610612740,95,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1742.966075,1521.178175,nan,nan,3,0,0,0,0,0,0,0,0,0,1
2015-10-28,2015,Boston,1610612738,112,Philadelphia,1610612755,95,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1519.678625,1333.391825,nan,nan,1,3,0,0,0,0,0,0,0,0,1
2015-10-28,2015,Brooklyn,1610612751,100,Chicago,1610612741,115,0.5,0.5,0.5,0.5,0.667,0.333,0.5,0.5,1469.5529,1573.94410810685,nan,nan,1,2,0,0,0,0,1,0,97,95,0
2015-10-28,2015,Detroit,1610612765,92,Utah,1610612762,87,0.5,0.5,0.667,0.333,0.5,0.5,0.5,0.5,1492.60599752762,1542.71405,nan,nan,1,1,1,0,106,94,0,0,0,0,1
2015-10-28,2015,Houston,1610612745,85,Denver,1610612743,105,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1617.226925,1443.02135,nan,nan,2,1,0,0,0,0,0,0,0,0,0
2015-10-28,2015,LA Lakers,1610612747,111,Minnesota,1610612750,112,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1338.679625,1324.2185,nan,nan,1,3,0,0,0,0,0,0,0,0,0
2015-10-28,2015,Memphis,1610612763,76,Cleveland,1610612739,106,0.5,0.5,0.5,0.5,0.5,0.5,0.333,0.667,1582.509125,1640.90429189315,nan,nan,1,1,0,0,0,0,0,1,95,97,0
2015-10-28,2015,Miami,1610612748,104,Charlotte,1610612766,94,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1468.145075,1426.797875,nan,nan,4,0,0,0,0,0,0,0,0,0,1
2015-10-28,2015,Milwaukee,1610612749,97,New York,1610612752,122,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1458.70355,1318.01345,nan,nan,1,3,0,0,0,0,0,0,0,0,0
2015-10-28,2015,Oklahoma City,1610612760,112,San Antonio,1610612759,106,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1563.671375,1666.97255,nan,nan,4,0,0,0,0,0,0,0,0,0,1
2015-10-28,2015,Orlando,1610612753,87,Washington,1610612764,88,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1360.168625,1535.828375,nan,nan,0,4,0,0,0,0,0,0,0,0,0
2015-10-28,2015,Phoenix,1610612756,95,Dallas,1610612742,111,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1476.3812,1543.68725,nan,nan,1,2,0,0,0,0,0,0,0,0,0
2015-10-28,2015,Portland,1610612757,112,New Orleans,1610612740,94,0.5,0.5,0.5,0.5,0.5,0.5,0.333,0.667,1543.804175,1518.14613669327,nan,nan,3,1,0,0,0,0,0,1,95,111,1
2015-10-28,2015,Sacramento,1610612758,104,LA Clippers,1610612746,111,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1439.96015,1647.157325,nan,nan,0,4,0,0,0,0,0,0,0,0,0
2015-10-28,2015,Toronto,1610612761,106,Indiana,1610612754,99,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1501.545425,1504.903475,nan,nan,2,2,0,0,0,0,0,0,0,0,1
2015-10-29,2015,Indiana,1610612754,103,Memphis,1610612763,112,0.5,0.5,0.333,0.667,0.333,0.667,0.5,0.5,1499.2122548642,1557.1957205406302,nan,nan,1,1,0,1,99,106,0,1,76,106,0
2015-10-29,2015,LA Clippers,1610612746,104,Dallas,1610612742,88,0.5,0.5,0.667,0.333,0.5,0.5,0.667,0.333,1652.5880485531,1559.47787391889,nan,nan,3,1,1,0,111,104,1,0,111,95,1
2015-10-29,2015,New York,1610612752,101,Atlanta,1610612737,112,0.5,0.5,0.667,0.333,0.333,0.667,0.5,0.5,1355.99770871443,1541.29635247239,nan,nan,2,2,1,0,122,97,0,1,94,106,0
2015-10-30,2015,Atlanta,1610612737,97,Charlotte,1610612766,94,0.333,0.667,0.667,0.333,0.5,0.5,0.333,0.667,1549.12326304448,1421.0713193564402,nan,nan,3,1,1,1,103,103,0,1,94,104,1
2015-10-30,2015,Boston,1610612738,103,Toronto,1610612761,113,0.667,0.333,0.5,0.5,0.667,0.333,0.5,0.5,1523.52524158414,1507.2366451357998,nan,nan,1,3,1,0,112,95,1,0,106,99,0
2015-10-30,2015,Cleveland,1610612739,102,Miami,1610612748,92,0.5,0.5,0.5,0.5,0.667,0.333,0.5,0.5,1666.2176963525199,1473.87163064356,nan,nan,0,3,1,1,100,86,1,0,104,94,1
2015-10-30,2015,Denver,1610612743,78,Minnesota,1610612750,95,0.5,0.5,0.667,0.333,0.5,0.5,0.667,0.333,1477.810963607,1330.08281880325,nan,nan,2,2,1,0,105,85,1,0,112,111,0
2015-10-30,2015,Detroit,1610612765,98,Chicago,1610612741,94,0.667,0.333,0.667,0.333,0.667,0.333,0.667,0.333,1498.4081085791001,1587.1908799264902,nan,nan,1,3,2,0,99,90,2,0,106,97,1
2015-10-30,2015,Houston,1610612745,92,Golden State,1610612744,112,0.333,0.667,0.5,0.5,0.667,0.333,0.5,0.5,1582.4373113929998,1745.9981133067301,nan,nan,2,1,0,1,85,105,1,0,111,95,0
2015-10-30,2015,Milwaukee,1610612749,113,Washington,1610612764,118,0.333,0.667,0.5,0.5,0.5,0.5,0.667,0.333,1420.71929128557,1538.8225196031601,nan,nan,1,3,0,1,97,122,1,0,88,87,0
2015-10-30,2015,Orlando,1610612753,136,Oklahoma City,1610612760,139,0.333,0.667,0.5,0.5,0.667,0.333,0.5,0.5,1357.17448039684,1571.4982441286402,nan,nan,1,1,0,1,87,88,1,0,112,106,0
2015-10-30,2015,Philadelphia,1610612755,71,Utah,1610612762,99,0.5,0.5,0.333,0.667,0.5,0.5,0.333,0.667,1329.54520841586,1536.91193894852,nan,nan,0,2,0,1,95,112,0,1,87,92,0
2015-10-30,2015,Phoenix,1610612756,110,Portland,1610612757,92,0.333,0.667,0.5,0.5,0.667,0.333,0.5,0.5,1460.59057608111,1552.84556448922,nan,nan,3,1,0,1,95,111,1,0,112,94,1
2015-10-30,2015,Sacramento,1610612758,132,LA Lakers,1610612747,114,0.333,0.667,0.5,0.5,0.333,0.667,0.5,0.5,1434.5294264469,1332.81530619675,nan,nan,1,3,0,1,104,111,0,1,111,112,1
2015-10-30,2015,San Antonio,1610612759,102,Brooklyn,1610612751,75,0.5,0.5,0.333,0.667,0.333,0.667,0.5,0.5,1659.14568087136,1456.30612818036,nan,nan,1,1,0,1,106,112,0,1,100,115,1
2015-10-31,2015,Indiana,1610612754,76,Utah,1610612762,97,0.333,0.667,0.333,0.667,0.5,0.5,0.5,0.5,1487.9276752162302,1550.3277648015198,nan,nan,2,0,0,2,101,109,1,1,93,81,0
2015-10-31,2015,LA Clippers,1610612746,114,Sacramento,1610612758,109,0.667,0.333,0.667,0.333,0.5,0.5,0.5,0.5,1658.61745586643,1440.78378010904,nan,nan,4,0,2,0,107,96,1,1,118,112,1
2015-10-31,2015,Memphis,1610612763,101,Brooklyn,1610612751,91,0.333,0.667,0.667,0.333,0.333,0.667,0.333,0.667,1568.4803001885998,1451.44952290399,nan,nan,0,2,1,1,94,104,0,2,87,108,1
2015-10-31,2015,New Orleans,1610612740,120,Golden State,1610612744,134,0.5,0.5,0.25,0.75,0.667,0.333,0.667,0.333,1509.10474720405,1758.76551509052,nan,nan,0,3,0,2,94,111,2,0,111,93,0
2015-10-31,2015,Portland,1610612757,90,Phoenix,1610612756,101,0.667,0.333,0.333,0.667,0.5,0.5,0.5,0.5,1538.04622205312,1475.3899185172102,nan,nan,1,3,1,1,102,102,1,1,102,101,0
2015-10-31,2015,Washington,1610612764,110,New York,1610612752,117,0.5,0.5,0.75,0.25,0.333,0.667,0.667,0.333,1545.39830779665,1348.1707981423401,nan,nan,3,0,2,0,103,100,1,1,111,104,0
