HOME_TEAM_HOME_WINS,HOME_TEAM_HOME_LOSES,HOME_TEAM_ROAD_WINS,HOME_TEAM_ROAD_LOSES,AWAY_TEAM_HOME_WINS,AWAY_TEAM_HOME_LOSES,AWAY_TEAM_ROAD_WINS,AWAY_TEAM_ROAD_LOSES,HOME_TEAM_FORM,AWAY_TEAM_FORM,HOME_TEAM_RAPTOR,AWAY_TEAM_RAPTOR,HOME_TEAM_WINS
5,4,3,4,3,7,1,2,1,1,1438.31546732165,1396.87009228388,1
8,2,1,2,8,2,5,1,2,3,1359.71792977142,1635.09574284836,0
5,2,3,3,8,0,0,1,1,2,1371.89925851729,1574.7653239424699,0
2,5,4,5,3,6,3,4,1,0,1326.61119883934,1506.6518368689499,0
3,8,2,2,3,5,3,4,1,1,1361.23640524488,1322.8350499340302,0
6,3,2,2,5,2,6,7,2,2,1401.9485882943302,1466.3198537834398,1
7,1,6,6,6,3,6,1,2,3,1701.33329409635,1567.91909723447,0
5,1,4,5,4,5,5,5,2,1,1459.96039352242,1480.6930689198,0
6,1,7,5,3,5,1,1,2,2,1736.17857206086,1404.1782041254598,1
6,1,7,7,5,2,7,6,2,2,1514.86449414419,1693.66077049422,1
1,7,1,2,7,1,4,5,0,2,1529.68687275741,1508.43241827905,0
2,6,4,4,3,3,3,3,1,1,1490.6605608998902,1420.99635885273,0
4,6,3,3,4,5,4,3,2,2,1588.35127345411,1508.02154218608,1
6,3,1,1,0,9,3,4,2,0,1339.74329564082,1342.1876548738699,1
3,3,4,3,7,3,2,2,2,2,1431.1646726351098,1543.26835339484,1
7,1,5,5,4,5,4,5,2,2,1503.60067594161,1506.42134802977,0
4,5,6,5,6,2,5,5,1,2,1447.31889479943,1613.31557077585,0
5,3,3,3,7,1,7,5,1,3,1457.0786593326002,1736.93022676488,0
7,1,7,7,2,7,4,4,3,1,1590.3589114319102,1459.67524541915,0
8,3,1,2,3,7,1,2,1,1,1379.6668041302403,1387.71605001689,0
3,5,4,4,8,0,1,1,1,2,1313.84402482431,1605.60748719089,0
3,5,1,2,3,9,2,2,1,0,1390.9909707174402,1341.3761177905901,1
1,8,1,2,8,2,6,1,0,3,1472.2488504602402,1628.50168196783,0
7,2,6,6,5,2,7,8,2,2,1701.12378750517,1647.3631076771699,0
0,9,3,4,3,6,4,4,0,1,1303.54083924672,1511.60557071094,1
6,3,7,1,7,3,1,1,3,2,1470.87376154689,1336.47266292989,1
5,6,3,3,5,2,6,7,3,1,1579.33916891976,1443.32510498671,1
4,5,5,5,1,9,1,2,2,0,1507.33157711061,1441.8721063175599,1
8,0,2,1,4,5,1,2,2,2,1605.61507084617,1405.90173136659,1
8,2,7,1,6,4,3,4,3,2,1611.20390493668,1454.95638853484,1
5,2,4,5,3,9,2,3,1,0,1469.0514882429502,1355.36025588049,1
7,3,7,1,7,3,2,3,3,2,1548.88728114436,1526.4292072659803,0
4,3,4,3,8,4,1,2,3,1,1432.01337656923,1379.38282866728,0
3,4,7,7,7,3,1,2,1,1,1631.4500805319,1490.57025871234,1
3,6,4,4,2,7,5,4,1,1,1291.50027852519,1449.1175579557098,0
