HOME_TEAM_HOME_WINS,HOME_TEAM_HOME_LOSES,HOME_TEAM_ROAD_WINS,HOME_TEAM_ROAD_LOSES,AWAY_TEAM_HOME_WINS,AWAY_TEAM_HOME_LOSES,AWAY_TEAM_ROAD_WINS,AWAY_TEAM_ROAD_LOSES,HOME_TEAM_FORM,AWAY_TEAM_FORM,HOME_TEAM_RAPTOR,AWAY_TEAM_RAPTOR,HOME_TEAM_WINS
2,7,2,6,7,2,6,2,0,1,1349.07492502108,1657.0541996166698,0
4,3,3,5,8,0,3,7,1,2,1491.6930895344199,1615.70309977439,0
6,2,1,6,8,1,4,4,3,1,1407.17877799401,1755.75317481659,1
3,4,5,3,4,3,4,5,3,1,1642.12047468944,1351.20311026766,1
5,3,5,3,2,4,1,9,2,0,1531.38569362276,1313.99645907395,1
7,1,2,6,7,3,3,3,2,1,1567.1752176888401,1603.7383920314999,1
5,5,3,3,5,3,3,4,2,2,1414.00660068189,1576.49875226993,1
3,6,0,6,6,2,4,3,1,3,1348.5662630217098,1643.53427945345,0
3,6,3,4,5,3,4,4,1,2,1492.7995552402697,1568.9816627191199,0
7,2,0,8,6,1,4,4,2,3,1553.12893850249,1449.36798002552,0
6,5,3,3,2,5,2,8,3,0,1420.55590331271,1311.5055041410699,1
6,2,2,5,8,1,4,5,1,0,1467.84776619608,1754.31988078499,1
3,5,2,6,7,2,4,3,1,1,1531.4770055036802,1542.67344061028,0
2,5,1,9,7,1,4,4,0,3,1320.99613791609,1477.74540212288,0
5,3,3,5,5,2,4,6,1,1,1491.8549069653698,1614.3501234292,1
4,3,4,3,2,5,0,8,2,1,1469.35217088845,1347.62931357907,1
6,3,5,3,2,4,6,5,3,1,1539.50652644767,1605.81328886181,1
7,1,4,4,6,2,1,7,3,2,1463.81937951664,1420.57999672788,1
8,1,4,3,7,3,3,4,2,1,1610.66987817549,1599.3469007663598,1
8,1,2,6,6,2,2,6,3,1,1562.175511904,1473.3461881414,1
9,0,3,7,3,6,0,7,3,1,1609.8172596885902,1352.82192401064,1
5,3,4,5,6,2,4,4,1,2,1341.25242301058,1643.5401258286902,1
3,7,3,4,3,4,5,6,0,2,1493.39018176013,1458.36188449172,0
2,6,2,8,7,2,5,3,0,2,1312.0898144311,1534.1075078635902,0
6,6,3,3,7,2,7,2,2,2,1416.3371849095402,1655.28722007443,0
4,5,2,6,7,1,4,5,1,2,1533.19616318957,1477.0092539944199,1
2,6,1,9,7,2,8,2,0,3,1322.10624486753,1654.6640542770301,0
5,3,4,6,2,6,3,8,0,1,1612.2374832401001,1313.08536070438,0
3,7,2,6,3,6,0,8,1,0,1341.34365358483,1351.75528988235,1
6,3,3,5,6,3,5,4,2,2,1493.04196293055,1544.77727759085,1
2,6,0,8,5,3,5,4,0,2,1346.4860585890199,1559.94642051547,0
7,2,1,7,3,4,5,7,2,1,1419.15703248522,1460.66373631467,1
